"","YardsRushAtt","RushYards","RushFirstDown","YardsPassComp","PassYards","PassFirstDown","FieldGoals","OtherTDs","PointsGame","OffensTD","TDGame","PassTDG","RushTDG","PlaysGame","YardsPlay","FirstDownPlay","OffTimePossPerc"
"Arizona",4.2,101.6,5.2,11.6,222.9,10.9,1.2,0.2,19.5,2.1,2.3,1.3,0.8,62.1,5.2,0.29,0.4651
"Atlanta",4,111.6,6.1,11.2,257.4,13.2,1.6,0.2,23.8,2.5,2.7,1.7,0.8,66.9,5.5,0.32,0.5294
"Baltimore",4.2,122.2,5.9,11,213.6,11.3,1.9,0.3,23.2,2.2,2.5,1.4,0.8,64.9,5.2,0.29,0.5132
"Buffalo",4.9,120.1,6.2,10.4,231.6,11.2,1.4,0.4,23.2,2.2,2.7,1.5,0.8,62,5.7,0.32,0.503
"Carolina",5.4,150.5,8.7,12.3,239.1,10.9,1.4,0.1,25.4,2.9,3,1.3,1.6,62.5,6.2,0.35,0.5043
"Chicago",4.4,125.9,6.1,11.2,188.2,9.6,1.8,0.6,22.1,1.8,2.4,1.1,0.6,61.1,5.1,0.28,0.5047
"Cincinnati",3.9,109.1,5.9,10.6,209.6,10.1,2,0.2,20.8,1.9,2.1,1.2,0.6,63.5,5,0.28,0.5052
"Cleveland",3.7,95.7,4.8,9.7,193.1,10.8,1.5,0.1,13.6,1.2,1.3,1,0.2,64,4.5,0.27,0.4851
"Dallas",4.4,112.9,5.7,11.2,262.6,13.7,2,0.1,23.1,2.4,2.4,2.1,0.3,63.6,5.9,0.32,0.5189
"Denver",4.7,161.5,7.9,12.1,158.8,8.1,1.3,0.3,19.3,1.9,2.2,1.2,0.7,63.5,5,0.28,0.4845
"Detroit",4.2,91.5,4.3,11.5,305.5,15.5,1.4,0.4,29.5,3.2,3.6,2.6,0.6,65.4,6.1,0.33,0.4931
"Green Bay",4.1,100.3,5.7,12.8,303.8,14.4,1.5,0.4,34.1,3.8,4.2,3.1,0.7,62.4,6.5,0.36,0.508
"Houston",4.5,153.7,8.1,12.2,213.4,10.9,1.9,0.2,23.6,2.3,2.6,1.2,1.2,64.8,5.7,0.31,0.5381
"Indianapolis",4.2,99.6,4.3,9.9,187.2,10.6,1.4,0.2,15.2,1.4,1.6,0.9,0.5,59.4,4.8,0.27,0.437
"Jacksonville",4,123.1,6.4,9.1,136.2,7.6,1.4,0.2,15.2,1.3,1.6,0.8,0.6,62.6,4.1,0.25,0.5005
"Kansas City",3.9,118.3,5.6,10.3,192.5,10.2,1.5,0.1,13.2,1.1,1.2,0.8,0.3,63.8,4.9,0.27,0.4845
"Miami",4.2,124.2,5.5,11,193.2,10.4,2.1,0.1,20.6,1.9,2.1,1.2,0.7,61.9,5.1,0.29,0.5064
"Minnesota",5.2,144.9,7.4,10.3,184.8,9.9,1.4,0.1,21.2,2.4,2.4,1.2,1.1,62.9,5.2,0.29,0.4786
"New England",4,109.9,6.8,12.5,313.2,16.4,1.7,0.2,31.5,3.5,3.7,2.5,1.1,67.2,6.3,0.37,0.4707
"New Orleans",4.8,129.5,7.2,11.5,346.7,17.9,1.7,0.2,34.7,4,4.2,2.9,1.1,71,6.7,0.37,0.5336
"NY Giants",3.6,94.7,5.2,12.6,293.9,13.8,1.4,0.1,24.8,2.9,2.9,1.9,0.9,65.7,5.9,0.32,0.5054
"NY Jets",3.8,105.8,5.8,10.6,206.1,10.8,1.2,0.3,23.6,2.5,2.8,1.6,0.9,64.4,4.8,0.29,0.5136
"Oakland",4.5,131.9,6.9,12.6,247.6,11.6,1.9,0.1,22.4,2.2,2.4,1.2,1,63.4,6,0.32,0.4964
"Philadelphia",5.1,142.3,8.4,12.5,256.9,12.3,1.5,0.2,24.8,2.6,2.9,1.4,1.2,64.8,6.2,0.34,0.5222
"Pittsburgh",4.5,121.1,6.2,11.8,252.8,13.6,1.5,0.1,20.5,2.1,2.2,1.3,0.8,63.7,5.9,0.33,0.5412
"San Diego",4.3,116.5,6.1,12.1,276.6,14.6,1.8,0.2,25.4,2.7,2.9,1.7,1,65.5,6,0.34,0.53
"San Francisco",4.3,129.8,6.3,10.8,187.3,9.2,2.7,0.2,24.1,2.1,2.3,1.3,0.8,62.1,5.1,0.28,0.5253
"Seattle",4,109.8,5.6,10.4,194.1,9.6,1.6,0.3,20.1,1.9,2.2,0.9,0.9,62.7,4.8,0.26,0.4718
"St Louis",4.1,104.2,5,9.8,179.4,9.9,1.3,0.1,12.1,1,1.1,0.6,0.4,63.3,4.5,0.26,0.4677
"Tampa Bay",4.2,91.1,4.6,10,228.1,11.2,1.6,0.2,17.9,1.6,1.9,1.1,0.6,60.4,5.3,0.29,0.4836
"Tennessee",3.8,89.9,4.4,11.1,245.2,11.6,1.8,0.2,20.3,1.9,2.1,1.4,0.5,61.5,5.4,0.29,0.4651
"Washington",4,100.9,4.9,10.9,235.8,12.8,1.9,0.1,18,1.7,1.8,1.2,0.5,64.4,5.2,0.3,0.5014
