"","GSH","GSA","SSH","SSA","GCH","GCA","CSH","CSA","WMH","WMA","LWR","LRWL","YC","RC"
"Barcelona",61,44,0.95,0.95,14,21,0.47,0.32,14,13,10,22,76,6
"RealMadrid",49,34,1,0.84,29,23,0.37,0.37,14,11,10,18,115,9
"Sevilla",28,26,0.74,0.74,20,19,0.42,0.53,11,10,4,7,100,8
"AtleMadrid",47,33,0.95,0.84,23,34,0.37,0.16,13,7,6,9,116,5
"Villarreal",33,28,0.84,0.68,25,29,0.26,0.16,12,6,5,11,102,5
"Valencia",47,21,1,0.68,26,28,0.26,0.26,12,6,5,8,120,6
"Depor",30,18,0.84,0.63,18,29,0.42,0.32,10,6,3,6,87,4
"Malaga",28,27,0.79,0.68,23,36,0.26,0.16,8,7,4,6,96,6
"Mallorca",33,20,0.84,0.63,24,36,0.27,0.16,9,5,3,7,119,6
"Espanyol",28,18,0.79,0.58,22,27,0.42,0.21,8,4,4,6,110,5
"Almeria",27,18,0.79,0.58,20,41,0.21,0.05,11,2,3,4,97,11
"RacingStder",28,21,0.79,0.74,22,26,0.21,0.32,5,7,2,7,134,9
"AthleticBil",28,19,0.84,0.68,29,33,0.26,0.11,9,3,2,7,115,13
"Sporting",24,23,0.74,0.74,37,42,0.11,0.16,8,6,4,4,117,5
"Osasuna",27,14,0.74,0.53,22,25,0.37,0.26,8,4,3,6,104,8
"Valladolid",22,24,0.68,0.63,17,41,0.42,0.05,8,2,3,5,87,9
"Getafe",27,33,0.74,0.89,23,33,0.21,0.11,7,3,1,5,125,7
"Betis",24,27,0.68,0.68,25,33,0.26,0.11,4,6,3,7,105,9
"Numancia",23,15,0.68,0.42,22,47,0.32,0.05,9,1,1,3,103,9
"Recreativo",17,17,0.63,0.68,29,28,0.16,0.11,4,4,2,5,101,6
